Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
50,T03,GUY03_000,2,1,60,61.3,15.5,0
51,T03,GUY03_000,3,2,61.3,38.3,7,1
52,T03,GUY03_000,4,2,29,19.8,4.9,1
53,T03,GUY03_000,5,4,13.2,10,1.7,2
54,T03,GUY03_000,6,4,19.8,10,7.1,2
55,T03,GUY03_000,7,3,26,24.2,3.2,2
56,T03,GUY03_000,8,7,12.7,10,3.6,3
57,T03,GUY03_000,9,7,24.2,24.5,1.1,3
58,T03,GUY03_000,10,9,11.4,10,1.3,4
59,T03,GUY03_000,11,9,21.5,18.2,1.9,4
60,T03,GUY03_000,12,11,18.2,10,1.9,5
61,T03,GUY03_000,13,11,18.5,10,1.2,5
62,T03,GUY03_000,14,3,38.3,29.5,2,2
63,T03,GUY03_000,15,14,29.5,22.4,1.2,3
64,T03,GUY03_000,16,15,24.5,18.8,0.5,4
65,T03,GUY03_000,17,16,18.8,10,0.8,5
66,T03,GUY03_000,18,16,16.6,10,2.75,5
67,T03,GUY03_000,19,16,21.2,10,2.3,5
68,T03,GUY03_000,21,20,14.3,10,4.8,4
69,T03,GUY03_000,22,20,16.6,10,4.9,4
70,T03,GUY03_000,20,14,24.7,18,2.1,3
71,T03,GUY03_000,23,20,13.2,10,1.2,4
72,T03,GUY03_000,24,20,18,10,4.8,4
